asset,regime,model,loss,n,mean,se_auto
BTC-USD,covid,autoarima,crps,90,0.027982631299081313,0.0061508609125323745
BTC-USD,covid,autoarima,log_score,90,-0.95757288551015718,0.74664380448060275
BTC-USD,covid,autoarima,pinball_0p01,90,0.0058726153565007034,0.0043803891377988497
BTC-USD,covid,autoarima,pinball_0p025,90,0.0073700520484251035,0.0045210824589265062
BTC-USD,covid,autoarima,pinball_0p05,90,0.0092222901873349698,0.0046066910616412646
BTC-USD,covid,autoarima,pinball_avg,90,0.0074883191974202592,0.0045007181980869209
BTC-USD,covid,autoarima,qlike,90,0.53139092218167072,0.30253964675697359
BTC-USD,covid,autoarima,fz0_0p01,90,1.9322716755861964,3.7996132955932493
BTC-USD,covid,autoarima,fz0_0p025,90,-0.39800011299371574,1.8134877306640396
BTC-USD,covid,autoarima,fz0_0p05,90,-1.3777375111748182,1.0698035676928919
BTC-USD,covid,autoarima,fz0_avg,90,0.052178017139220718,2.2268186373664647
BTC-USD,covid,autoarima,qlike_ex_near_zero,90,0.53139092218167072,0.30253964675697359
BTC-USD,covid,autoets,crps,90,0.028546704582101606,0.0062002611946757593
BTC-USD,covid,autoets,log_score,90,-1.0905045209955384,0.59405969938769909
BTC-USD,covid,autoets,pinball_0p01,90,0.0058805416861397184,0.0042338645791235611
BTC-USD,covid,autoets,pinball_0p025,90,0.0075289329948282071,0.0043985138274979692
BTC-USD,covid,autoets,pinball_0p05,90,0.0095512481246886657,0.0045095320516598441
BTC-USD,covid,autoets,pinball_avg,90,0.0076535742685521968,0.0043775304116225825
BTC-USD,covid,autoets,qlike,90,0.53447389796909006,0.26679350932291801
BTC-USD,covid,autoets,fz0_0p01,90,1.505331335474885,3.2598775569437448
BTC-USD,covid,autoets,fz0_0p025,90,-0.55814423066397434,1.5698527854623441
BTC-USD,covid,autoets,fz0_0p05,90,-1.4463829033001121,0.93357229803127473
BTC-USD,covid,autoets,fz0_avg,90,-0.1663985994964006,1.9201112428204157
BTC-USD,covid,autoets,qlike_ex_near_zero,90,0.53447389796909006,0.26679350932291801
BTC-USD,covid,chronos,crps,90,0.027614919231112499,0.0063723510771648839
BTC-USD,covid,chronos,log_score,90,-0.51274792186250029,1.2553524993333478
BTC-USD,covid,chronos,pinball_0p01,90,0.0060941822203075743,0.0046425525549568195
BTC-USD,covid,chronos,pinball_0p025,90,0.0073179385268827132,0.0047309647835096051
BTC-USD,covid,chronos,pinball_0p05,90,0.0089695189719745383,0.0047581001106274555
BTC-USD,covid,chronos,pinball_avg,90,0.0074605465730549405,0.0047094570782697191
BTC-USD,covid,chronos,qlike,90,0.91145712522478439,0.63237994379428353
BTC-USD,covid,chronos,fz0_0p01,90,3.5912687164175097,5.2730864999595557
BTC-USD,covid,chronos,fz0_0p025,90,0.27515551500858626,2.4841263206070385
BTC-USD,covid,chronos,fz0_0p05,90,-1.0180322167385034,1.4462755750468013
BTC-USD,covid,chronos,fz0_avg,90,0.9494640048958648,3.0672225573323009
BTC-USD,covid,chronos,qlike_ex_near_zero,90,0.91145712522478439,0.63237994379428353
BTC-USD,covid,ewma,crps,90,0.028889173030352423,0.0061343163104200281
BTC-USD,covid,ewma,log_score,90,-0.42553343377015473,1.2751277677895749
BTC-USD,covid,ewma,pinball_0p01,90,0.0064641353743134251,0.00464754853458141
BTC-USD,covid,ewma,pinball_0p025,90,0.0082727241810286525,0.0047319294943989586
BTC-USD,covid,ewma,pinball_0p05,90,0.010578774690886033,0.0047641231760507125
BTC-USD,covid,ewma,pinball_avg,90,0.0084385447487427059,0.0047118646203237052
BTC-USD,covid,ewma,qlike,90,0.90007658798889323,0.47624524699900328
BTC-USD,covid,ewma,fz0_0p01,90,3.7854316340827152,5.3308026746838006
BTC-USD,covid,ewma,fz0_0p025,90,0.58958886108207342,2.504033516821075
BTC-USD,covid,ewma,fz0_0p05,90,-0.69450314978494321,1.4550803690287994
BTC-USD,covid,ewma,fz0_avg,90,1.2268391151266156,3.0956317895040559
BTC-USD,covid,ewma,qlike_ex_near_zero,90,0.90007658798889323,0.47624524699900328
BTC-USD,covid,garch11,crps,90,0.028224087804208271,0.0061497537044263749
BTC-USD,covid,garch11,log_score,90,-0.65670580516669363,1.0997854642279925
BTC-USD,covid,garch11,pinball_0p01,90,0.0061674617343896341,0.0045994953854556798
BTC-USD,covid,garch11,pinball_0p025,90,0.0077614697055140717,0.004725659271550461
BTC-USD,covid,garch11,pinball_0p05,90,0.0097491659051007692,0.0048123173195847328
BTC-USD,covid,garch11,pinball_avg,90,0.0078926991150014923,0.0047089748445700965
BTC-USD,covid,garch11,qlike,90,0.6141156929480478,0.37701182161143154
BTC-USD,covid,garch11,fz0_0p01,90,3.0345713346224632,4.8681867401937398
