asset,model,n_all,mean_all,se_fixed_all,se_auto_all,n_ex_near_zero,mean_ex_near_zero,se_fixed_ex_near_zero,se_auto_ex_near_zero,rows_excluded,mean_shift_relative
BTC-USD,autoarima,2791,0.3548677852412484,0.034272298241886295,0.034442029952048481,2791,0.3548677852412484,0.034272298241886295,0.034442029952048481,0,0
BTC-USD,autoets,2791,0.38442709371288231,0.036361085471012543,0.036256360904834244,2791,0.38442709371288231,0.036361085471012543,0.036256360904834244,0,0
BTC-USD,chronos,2791,0.34573979215667566,0.038163672300608173,0.037321736523282294,2791,0.34573979215667566,0.038163672300608173,0.037321736523282294,0,0
BTC-USD,ewma,2791,0.44098916459810655,0.041335233770886937,0.041490931598824186,2791,0.44098916459810655,0.041335233770886937,0.041490931598824186,0,0
BTC-USD,garch11,2791,0.41047895157934006,0.024784900581972694,0.023867865206608458,2791,0.41047895157934006,0.024784900581972694,0.023867865206608458,0,0
BTC-USD,garch11_t,2791,0.45938124341134146,0.026263162043736268,0.025643880129750919,2791,0.45938124341134146,0.026263162043736268,0.025643880129750919,0,0
BTC-USD,gjr,2791,0.43386037525058685,0.028076824904094539,0.025571431185420108,2791,0.43386037525058685,0.028076824904094539,0.025571431185420108,0,0
BTC-USD,har,2791,0.34629927564536506,0.030750217708247256,0.030736495461470066,2791,0.34629927564536506,0.030750217708247256,0.030736495461470066,0,0
BTC-USD,lgbm,2791,0.39500048385329262,0.043319717923238285,0.043617876765168581,2791,0.39500048385329262,0.043319717923238285,0.043617876765168581,0,0
BTC-USD,moirai,2791,0.30232119332196539,0.031796202277053168,0.031343235403410281,2791,0.30232119332196539,0.031796202277053168,0.031343235403410281,0,0
BTC-USD,naive,2791,0.55665844060752823,0.044461661844387525,0.044859498234477262,2791,0.55665844060752823,0.044461661844387525,0.044859498234477262,0,0
BTC-USD,patchtst,2791,0.68391267189393512,0.082367707907827506,0.080623726250834679,2791,0.68391267189393512,0.082367707907827506,0.080623726250834679,0,0
BTC-USD,timesfm,2791,0.31244988086630437,0.03203635689545635,0.031826036900369135,2791,0.31244988086630437,0.03203635689545635,0.031826036900369135,0,0
CAC,autoarima,5010,0.42458288361937691,0.019032860004487329,0.017590246518532554,5008,0.42075965564530865,0.018845883779811952,0.017390193266111454,2,-0.0090046681615541524
CAC,autoets,5010,0.41717899126914726,0.018471111684172942,0.017287461230079956,5008,0.41335583231089118,0.018273993687924577,0.017085259949219125,2,-0.0091643132522690463
CAC,chronos,5010,0.41997142690141359,0.020892392674354152,0.018987302487569975,5008,0.41613663697479258,0.020763588445196962,0.018811271046568691,2,-0.009131073404003761
CAC,ewma,5010,0.45637139127562232,0.020679420168801105,0.019117570087575586,5008,0.45261364463567899,0.020579919768569474,0.018959677211942874,2,-0.0082339662647123776
CAC,garch11,5010,0.43563510079989248,0.016659969132350457,0.015227083947898332,5008,0.43171350669681363,0.016467309383027522,0.014982642821800828,2,-0.0090020158978884081
CAC,garch11_t,5010,0.44094561041683583,0.017020439531205588,0.015500356359181646,5008,0.43701367636418265,0.016833980965008197,0.015261226966616958,2,-0.0089170499938444545
CAC,gjr,5010,0.4049626376093553,0.017635958451465657,0.016600738827743426,5008,0.40101350886146159,0.017407073291697179,0.016367966080446744,2,-0.0097518348142112254
CAC,har,5010,0.40705303651755081,0.017632958107771737,0.016401336743704684,5008,0.40318826000823255,0.017466110494188971,0.016185531496528353,2,-0.0094945281390908676
CAC,lgbm,5010,0.57688045909322239,0.040322440121676198,0.033084312195497415,5008,0.57315789756568836,0.040301601006442062,0.03314272737547181,2,-0.0064529166638533572
CAC,moirai,5010,0.41053355759596261,0.02047746460286699,0.018828021104495659,5008,0.40666182097631359,0.020332492248152034,0.018640088119235367,2,-0.009430986938854545
CAC,naive,5010,0.78364837619509564,0.07158837090540314,0.063645244112243912,5008,0.77963875150857886,0.07157649107825946,0.063719764903239634,2,-0.0051166120013991434
CAC,patchtst,5010,0.77083075803571055,0.071654948579215519,0.062242107742991992,5008,0.76722075365619669,0.071661417361497504,0.062293057165275161,2,-0.0046832645712181382
CAC,timesfm,5010,0.42012941991174441,0.020705917723734556,0.019401318584527809,5008,0.41625085719587612,0.020580922772309707,0.019226221584418758,2,-0.0092318284129758021
DAX,autoarima,4996,0.41222699511264338,0.019960454145012761,0.01865811096370627,4996,0.41222699511264338,0.019960454145012761,0.01865811096370627,0,0
