asset,loss,rung,pairs,significant_5pct,expected_by_chance,rho_capped,variance_nonpositive,nonfinite_statistic,p_exactly_0_or_1,bandwidth_min,bandwidth_median,bandwidth_max,rho1_min,rho1_median,rho1_max,n_eff_min,n_eff_median,n_eff_max,n_min,n_median,n_max
BTC-USD,crps,auto,78,65,3.9000000000000004,0,0,0,0,0.011837438260369785,0.4502514330045535,1.5136793061651939,-0.10906337340510147,0.058605269315865231,0.1857031142239047,1916.7551986136655,2481.9767490301565,3474.3165594213342,2791,2791,2791
BTC-USD,crps,fixed,78,64,3.9000000000000004,0,0,0,0,9,9,9,-0.10906337340510147,0.058605269315865231,0.1857031142239047,1916.7551986136655,2481.9767490301565,3474.3165594213342,2791,2791,2791
BTC-USD,crps,twice_auto,78,65,3.9000000000000004,0,0,0,0,0.02367487652073957,0.90050286600910701,3.0273586123303877,-0.10906337340510147,0.058605269315865231,0.1857031142239047,1916.7551986136655,2481.9767490301565,3474.3165594213342,2791,2791,2791
BTC-USD,fz0_0p01,auto,78,23,3.9000000000000004,0,0,0,0,0.001144709378209479,0.056493453523658976,0.36745042063028605,-0.055522293038143752,-0.0018447979692309095,0.11644667448592819,2208.7909685836553,2801.3176991667415,3119.1447909828062,2791,2791,2791
BTC-USD,fz0_0p01,fixed,78,22,3.9000000000000004,0,0,0,0,9,9,9,-0.055522293038143752,-0.0018447979692309095,0.11644667448592819,2208.7909685836553,2801.3176991667415,3119.1447909828062,2791,2791,2791
BTC-USD,fz0_0p01,twice_auto,78,23,3.9000000000000004,0,0,0,0,0.0022894187564189579,0.11298690704731795,0.73490084126057209,-0.055522293038143752,-0.0018447979692309095,0.11644667448592819,2208.7909685836553,2801.3176991667415,3119.1447909828062,2791,2791,2791
BTC-USD,fz0_0p025,auto,78,28,3.9000000000000004,0,0,0,0,0.00056042014117508177,0.056760369646226924,0.3447706149667788,-0.048184443346618068,-0.0017532625850775602,0.096448792471165209,2299.9810274124566,2800.8082250609646,3073.5815998495705,2791,2791,2791
BTC-USD,fz0_0p025,fixed,78,28,3.9000000000000004,0,0,0,0,9,9,9,-0.048184443346618068,-0.0017532625850775602,0.096448792471165209,2299.9810274124566,2800.8082250609646,3073.5815998495705,2791,2791,2791
BTC-USD,fz0_0p025,twice_auto,78,28,3.9000000000000004,0,0,0,0,0.0011208402823501635,0.11352073929245385,0.6895412299335576,-0.048184443346618068,-0.0017532625850775602,0.096448792471165209,2299.9810274124566,2800.8082250609646,3073.5815998495705,2791,2791,2791
BTC-USD,fz0_0p05,auto,78,45,3.9000000000000004,0,0,0,0,0.0027264109305168184,0.07423391752711532,0.40898122687077482,-0.039179240153969473,-0.0013550640689375839,0.079929436793200193,2377.8562324733798,2798.5742324497269,3018.6163543494872,2791,2791,2791
BTC-USD,fz0_0p05,fixed,78,46,3.9000000000000004,0,0,0,0,9,9,9,-0.039179240153969473,-0.0013550640689375839,0.079929436793200193,2377.8562324733798,2798.5742324497269,3018.6163543494872,2791,2791,2791
BTC-USD,fz0_0p05,twice_auto,78,45,3.9000000000000004,0,0,0,0,0.0054528218610336368,0.14846783505423064,0.81796245374154963,-0.039179240153969473,-0.0013550640689375839,0.079929436793200193,2377.8562324733798,2798.5742324497269,3018.6163543494872,2791,2791,2791
BTC-USD,fz0_avg,auto,78,23,3.9000000000000004,0,0,0,0,0.00023150661667919651,0.060503880302048646,0.37349983869601533,-0.051446284555290517,-0.0018759270910918796,0.11013619824496637,2237.2118615938125,2801.4914846410093,3093.748442931349,2791,2791,2791
BTC-USD,fz0_avg,fixed,78,24,3.9000000000000004,0,0,0,0,9,9,9,-0.051446284555290517,-0.0018759270910918796,0.11013619824496637,2237.2118615938125,2801.4914846410093,3093.748442931349,2791,2791,2791
BTC-USD,fz0_avg,twice_auto,78,23,3.9000000000000004,0,0,0,0,0.00046301323335839301,0.12100776060409729,0.74699967739203066,-0.051446284555290517,-0.0018759270910918796,0.11013619824496637,2237.2118615938125,2801.4914846410093,3093.748442931349,2791,2791,2791
BTC-USD,log_score,auto,78,39,3.9000000000000004,0,0,0,0,0.0021691060655319107,0.060582465994309206,0.62375677729528667,-0.023207625431276444,0.0085251782022410863,0.13871157913621746,2111.0314733554296,2743.8152663279229,2923.6228260274679,2791,2791,2791
BTC-USD,log_score,fixed,78,39,3.9000000000000004,0,0,0,0,9,9,9,-0.023207625431276444,0.0085251782022410863,0.13871157913621746,2111.0314733554296,2743.8152663279229,2923.6228260274679,2791,2791,2791
BTC-USD,log_score,twice_auto,78,39,3.9000000000000004,0,0,0,0,0.0043382121310638214,0.12116493198861841,1.2475135545905733,-0.023207625431276444,0.0085251782022410863,0.13871157913621746,2111.0314733554296,2743.8152663279229,2923.6228260274679,2791,2791,2791
