asset,loss,rung,model_a,model_b,n,n_dropped,rho1,n_eff,rho_prewhiten,rho_capped,prewhiten,bandwidth,n_lags,mean_diff,variance,statistic,p_value,hln_factor,variance_nonpositive,significant_5pct
BTC-USD,crps,fixed,autoarima,autoets,2791,0,0.087332442923646711,2342.6645350073236,0,False,False,9,8,-0.00012648740775321395,5.1373291774817234e-10,-5.5795706156570173,2.6426335601641959e-08,0.99982083669120747,False,True
BTC-USD,crps,fixed,autoarima,chronos,2791,0,-0.024398128496146237,2930.5962402732544,0,False,False,9,8,0.00022011605613504753,6.5798055788528541e-10,8.5796066201683594,1.5540646360333053e-17,0.99982083669120747,False,True
BTC-USD,crps,fixed,autoarima,ewma,2791,0,-0.0065572925128657925,2827.8444063567608,0,False,False,9,8,1.5903428211942742e-05,1.5716226549055576e-09,0.40108719398881765,0.68838664338176281,0.99982083669120747,False,False
BTC-USD,crps,fixed,autoarima,garch11,2791,0,0.049522971510426034,2527.606787583351,0,False,False,9,8,-0.00012248855995398997,2.1947260312566282e-09,-2.614132249603871,0.0089935402012258341,0.99982083669120747,False,True
BTC-USD,crps,fixed,autoarima,garch11_t,2791,0,-0.060185924465672891,3148.4726524247667,0,False,False,9,8,0.0001238938025092249,2.022533084906187e-09,2.7543805850422585,0.0059184728911966565,0.99982083669120747,False,True
BTC-USD,crps,fixed,autoarima,gjr,2791,0,0.071333283218426385,2419.3300508231541,0,False,False,9,8,-0.00012784613612146036,2.6785783547636065e-09,-2.469776265809863,0.013579184281985903,0.99982083669120747,False,True
BTC-USD,crps,fixed,autoarima,har,2791,0,0.098519881885400978,2290.3827697133311,0,False,False,9,8,8.6998576656999749e-06,2.4264002260564156e-10,0.55840990340284813,0.57660932095961093,0.99982083669120747,False,False
BTC-USD,crps,fixed,autoarima,lgbm,2791,0,0.087806785829556006,2340.425978137464,0,False,False,9,8,-8.5280535669701789e-05,1.7011757837741558e-09,-2.067271450886651,0.038800602173160177,0.99982083669120747,False,True
BTC-USD,crps,fixed,autoarima,moirai,2791,0,-0.04648462770546425,3063.1269099495444,0,False,False,9,8,0.00028735777126447228,5.9212708703582864e-10,11.806948414763543,1.9864011183731213e-31,0.99982083669120747,False,True
BTC-USD,crps,fixed,autoarima,naive,2791,0,0.11312020341929134,2223.7324456542692,0,False,False,9,8,-0.00033392248073472401,5.3922259170141577e-09,-4.5465691607505088,5.6850881161923541e-06,0.99982083669120747,False,True
